iso3c,calificacion,ocupacion,rama,freq
BWA,1.Baja,3.TCP_fliares,1.Agro,3.774770273683912
BWA,2.Media,3.TCP_fliares,1.Agro,6.671246747770933
BWA,3.Alta,3.TCP_fliares,1.Agro,0.08979512141791689
BWA,1.Baja,1.Asalariado_patr,2.No_agro,17.595920172315132
BWA,2.Media,1.Asalariado_patr,2.No_agro,37.32868665121199
BWA,3.Alta,1.Asalariado_patr,2.No_agro,17.850303440864106
BWA,1.Baja,3.TCP_fliares,2.No_agro,1.5772478911253485
BWA,2.Media,3.TCP_fliares,2.No_agro,5.678530109875494
BWA,3.Alta,3.TCP_fliares,2.No_agro,1.5527164060963408
CHE,1.Baja,1.Asalariado_patr,1.Agro,0.1354250818861173
CHE,2.Media,1.Asalariado_patr,1.Agro,0.8527755481534853
CHE,3.Alta,1.Asalariado_patr,1.Agro,0.11661797419767256
CHE,1.Baja,3.TCP_fliares,1.Agro,0.16472458909639162
CHE,2.Media,3.TCP_fliares,1.Agro,1.7578528194819616
CHE,3.Alta,3.TCP_fliares,1.Agro,0.2705983101360933
CHE,1.Baja,1.Asalariado_patr,2.No_agro,4.9790208413538295
CHE,2.Media,1.Asalariado_patr,2.No_agro,41.31747337768394
CHE,3.Alta,1.Asalariado_patr,2.No_agro,41.96998158012945
CHE,1.Baja,3.TCP_fliares,2.No_agro,0.270861402273397
CHE,2.Media,3.TCP_fliares,2.No_agro,3.8091263529921338
CHE,3.Alta,3.TCP_fliares,2.No_agro,4.35554212261554
CHL,1.Baja,1.Asalariado_patr,1.Agro,3.818773907502445
CHL,2.Media,1.Asalariado_patr,1.Agro,2.2216525535996525
CHL,3.Alta,1.Asalariado_patr,1.Agro,0.37179148688339647
CHL,1.Baja,3.TCP_fliares,1.Agro,1.1017218717488377
CHL,2.Media,3.TCP_fliares,1.Agro,1.2570842390985093
CHL,3.Alta,3.TCP_fliares,1.Agro,0.06692838170824437
CHL,1.Baja,1.Asalariado_patr,2.No_agro,14.828479623350184
CHL,2.Media,1.Asalariado_patr,2.No_agro,34.61588739742481
CHL,3.Alta,1.Asalariado_patr,2.No_agro,23.25762726847067
CHL,1.Baja,3.TCP_fliares,2.No_agro,2.8152703179817222
CHL,2.Media,3.TCP_fliares,2.No_agro,12.889591762765676
CHL,3.Alta,3.TCP_fliares,2.No_agro,2.7551911894658643
CIV,1.Baja,1.Asalariado_patr,1.Agro,0.44938066662551773
CIV,2.Media,1.Asalariado_patr,1.Agro,3.2541512502314007
CIV,3.Alta,1.Asalariado_patr,1.Agro,0.09290103318639738
CIV,1.Baja,3.TCP_fliares,1.Agro,1.1688145574092577
CIV,2.Media,3.TCP_fliares,1.Agro,42.81840236775625
CIV,3.Alta,3.TCP_fliares,1.Agro,0.13834560539400545
CIV,1.Baja,1.Asalariado_patr,2.No_agro,3.644197599777785
CIV,2.Media,1.Asalariado_patr,2.No_agro,11.494320899579115
CIV,3.Alta,1.Asalariado_patr,2.No_agro,5.6999974208464534
CIV,1.Baja,3.TCP_fliares,2.No_agro,1.7498922009407292
CIV,2.Media,3.TCP_fliares,2.No_agro,27.922493068924656
CIV,3.Alta,3.TCP_fliares,2.No_agro,1.5671033293284422
CMR,1.Baja,1.Asalariado_patr,1.Agro,0.003005389221242011
CMR,2.Media,1.Asalariado_patr,1.Agro,2.2405213120373757
CMR,3.Alta,1.Asalariado_patr,1.Agro,0.05925623603304429
CMR,1.Baja,3.TCP_fliares,1.Agro,0.04354553046104109
CMR,2.Media,3.TCP_fliares,1.Agro,45.34893660686297
CMR,3.Alta,3.TCP_fliares,1.Agro,0.20867733555371737
CMR,1.Baja,1.Asalariado_patr,2.No_agro,2.726465682429116
CMR,2.Media,1.Asalariado_patr,2.No_agro,12.313362840755142
CMR,3.Alta,1.Asalariado_patr,2.No_agro,8.040347450026472
CMR,1.Baja,3.TCP_fliares,2.No_agro,3.615401309277725
CMR,2.Media,3.TCP_fliares,2.No_agro,22.8091089617151
CMR,3.Alta,3.TCP_fliares,2.No_agro,2.5913713456270573
COD,1.Baja,1.Asalariado_patr,1.Agro,0.2966397213119198
COD,2.Media,1.Asalariado_patr,1.Agro,1.6563744200229937
COD,3.Alta,1.Asalariado_patr,1.Agro,0.04228791629766358
COD,1.Baja,3.TCP_fliares,1.Agro,4.686627468268572
COD,2.Media,3.TCP_fliares,1.Agro,55.4922610332708
COD,3.Alta,3.TCP_fliares,1.Agro,0.052068473334533766
COD,1.Baja,1.Asalariado_patr,2.No_agro,2.160990407935618
COD,2.Media,1.Asalariado_patr,2.No_agro,7.506964113213353
COD,3.Alta,1.Asalariado_patr,2.No_agro,9.830114759002806
COD,1.Baja,3.TCP_fliares,2.No_agro,2.0956184556484034
COD,2.Media,3.TCP_fliares,2.No_agro,15.437127514548342
COD,3.Alta,3.TCP_fliares,2.No_agro,0.7429257171449977
COG,1.Baja,1.Asalariado_patr,1.Agro,0
COG,2.Media,1.Asalariado_patr,1.Agro,1.0175372511016159
COG,3.Alta,1.Asalariado_patr,1.Agro,0
COG,1.Baja,3.TCP_fliares,1.Agro,0
COG,2.Media,3.TCP_fliares,1.Agro,3.021221689049165
COG,3.Alta,3.TCP_fliares,1.Agro,0
COG,1.Baja,1.Asalariado_patr,2.No_agro,5.817114443252923
COG,2.Media,1.Asalariado_patr,2.No_agro,43.66363983959076
COG,3.Alta,1.Asalariado_patr,2.No_agro,17.174820019645306
COG,1.Baja,3.TCP_fliares,2.No_agro,0.9535320140189543
COG,2.Media,3.TCP_fliares,2.No_agro,27.60702897780812
COG,3.Alta,3.TCP_fliares,2.No_agro,0.7451057655331544
COK,1.Baja,1.Asalariado_patr,1.Agro,0
COK,2.Media,1.Asalariado_patr,1.Agro,0.6770718312326746
COK,3.Alta,1.Asalariado_patr,1.Agro,0.14349617974987947
COK,1.Baja,3.TCP_fliares,1.Agro,0
COK,2.Media,3.TCP_fliares,1.Agro,3.5632805453369127
COK,3.Alta,3.TCP_fliares,1.Agro,0.6848517263706911
COK,1.Baja,1.Asalariado_patr,2.No_agro,12.962333769033444
COK,2.Media,1.Asalariado_patr,2.No_agro,41.81725262546117
COK,3.Alta,1.Asalariado_patr,2.No_agro,32.88583676252714
COK,1.Baja,3.TCP_fliares,2.No_agro,0.41614233378688287
COK,2.Media,3.TCP_fliares,2.No_agro,3.9982756106837263
COK,3.Alta,3.TCP_fliares,2.No_agro,2.8514586158174753
COL,1.Baja,1.Asalariado_patr,1.Agro,0.8260482406586432
COL,2.Media,1.Asalariado_patr,1.Agro,3.5144537600832337
COL,3.Alta,1.Asalariado_patr,1.Agro,2.3893655203932287
COL,1.Baja,3.TCP_fliares,1.Agro,0.842137956980611
COL,2.Media,3.TCP_fliares,1.Agro,5.603251320015745
COL,3.Alta,3.TCP_fliares,1.Agro,3.9405064245567765
COL,1.Baja,1.Asalariado_patr,2.No_agro,4.777416271399974
COL,2.Media,1.Asalariado_patr,2.No_agro,23.48804159252768
COL,3.Alta,1.Asalariado_patr,2.No_agro,17.280093060211215
COL,1.Baja,3.TCP_fliares,2.No_agro,2.56799971322436
COL,2.Media,3.TCP_fliares,2.No_agro,19.744817795622396
COL,3.Alta,3.TCP_fliares,2.No_agro,15.025868344326144
COM,1.Baja,1.Asalariado_patr,1.Agro,0.018822706675829578
COM,2.Media,1.Asalariado_patr,1.Agro,2.7658178744796946
COM,3.Alta,1.Asalariado_patr,1.Agro,0.07811047198948377
COM,1.Baja,3.TCP_fliares,1.Agro,0.05591306998777703
COM,2.Media,3.TCP_fliares,1.Agro,35.78313111688156
COM,3.Alta,3.TCP_fliares,1.Agro,0.04193754721819929
COM,1.Baja,1.Asalariado_patr,2.No_agro,2.593986099793744
COM,2.Media,1.Asalariado_patr,2.No_agro,21.012625412241647
COM,3.Alta,1.Asalariado_patr,2.No_agro,15.383330546454912
COM,1.Baja,3.TCP_fliares,2.No_agro,0.5961134694457163
COM,2.Media,3.TCP_fliares,2.No_agro,21.03125096183739
COM,3.Alta,3.TCP_fliares,2.No_agro,0.6389607229940396
CPV,1.Baja,1.Asalariado_patr,1.Agro,1.1898527099022522
CPV,2.Media,1.Asalariado_patr,1.Agro,2.0026215173456374
CPV,3.Alta,1.Asalariado_patr,1.Agro,0.04812393245171994
CPV,1.Baja,3.TCP_fliares,1.Agro,5.4777341133001975
CPV,2.Media,3.TCP_fliares,1.Agro,5.283380679333144
CPV,3.Alta,3.TCP_fliares,1.Agro,0.0114133145880858
CPV,1.Baja,1.Asalariado_patr,2.No_agro,10.926863786620528
CPV,2.Media,1.Asalariado_patr,2.No_agro,33.42720085756406
CPV,3.Alta,1.Asalariado_patr,2.No_agro,15.674874513282331
CPV,1.Baja,3.TCP_fliares,2.No_agro,9.182104581438969
CPV,2.Media,3.TCP_fliares,2.No_agro,16.097261464950016
CPV,3.Alta,3.TCP_fliares,2.No_agro,0.6785685292230539
CRI,1.Baja,1.Asalariado_patr,1.Agro,4.510830922373593
